country,unit,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3
AZERBAIJAN,MANAT,4600,4600,4650,4750,4800,4850,4900,4900,4900,4900,4900,4900,4950,4950,4900,4894,4900,4800,4600,4600,4600,4550,4450,4400,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZERBAIJAN,NEW MANAT,,,,,,,,,,,,,,,,,,,,0.92,0.92,0.92,0.88,0.88,0.86,0.86,0.86,0.86,0.86,0.85,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.049,1.07,1.07,1.62,1.58,1.6,1.68
BAHAMAS,DOLLAR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BAHRAIN,DINAR,0.377,0.377,0.377,0.376,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.374,0.376,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.38,0.38,0.38,0.377,0.377,0.377,0.38,0.377,0.377,0.38,0.38,0.38,0.377,0.38,0.377,0.38,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377
BANGLADESH,TAKA,54,57,57,57,58,58,58,58,58,58,58,58,58,60,59,59,61,62,66,67,70,69,69,69,69,69,69,69,68,68,68,68,68,68,68,68,68,69,69,69,71,73,74,79,81,81,81,81,80,79,79,79,79,79,79,79,79,79,79,79,79,79,79
BARBADOS,DOLLAR,2,2,2,2,2,2,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02
BELARUS,RUBLE,1230,1365,1450,1565,1668,1770,1843,1920,1967,2035,2108,2145,2151,2153,2160,2173,2161,2149,2148,2146,2144,2143,2136,2136,2145,2145,2147,2153,2148,2135,2111,2657,2855,2883,2840,2880,2990,3017,3015,3010,3052,2820,9200,8300,8000,8270,8470,8550,8680,8790,9080,9510,9760,10200,10580,13779,14740,15346,17703,18555,20133,20053,19264
BELARUS,NEW RUBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.926
BELGIUM,EURO,1.083,1.181,1.1,1.122,1.153,1.073,1.02,0.955,0.926,0.845,0.856,0.806,0.816,0.819,0.82,0.753,0.754,0.81,0.815,0.847,0.841,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
BELGIUM,FRANC,43.705,47.655,44.383,45.27,46.507,,,,,,,,,,0.82,0.753,0.754,0.81,34.8125,34.8125,34.8125,34.8125,34.8125,34.8125,34.8125,34.8125,34.8125,34.8125,34.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELIZE,DOLLAR,2,2,2,2,2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
BENIN,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,465,509,479.5,515,465.01,456.95,454.89,533.82,532,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,501.41,485.93,475,477.79,480.52,516.65,538.7,606.41,586.93,585.31,602.79,575.7,590.69,587.51
BERMUDA,DOLLAR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BOLIVIA,BOLIVIANO,6.438,6.54,6.7,6.83,6.923,7.082,7.294,7.494,7.564,7.621,7.732,7.796,7.892,7.892,7.962,8.007,8.052,8.072,8.037,7.95,7.95,7.95,7.94,7.94,7.94,7.94,7.7,7.53,7.49,7.21,6.97,6.94,7,6.97,6.97,6.97,6.97,6.97,6.97,6.96,6.96,6.96,6.96,6.86,6.83,6.83,6.96,6.96,6.96,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.85,6.86,6.86,6.77,6.81,6.86
BOSNIA-HERCEGOVINA,MARKA,2.119,2.31,2.152,2.195,2.255,2.076,1.982,1.866,1.817,1.642,1.709,1.572,1.596,1.601,1.605,1.473,1.474,1.585,1.594,1.656,1.646,1.521,1.53,1.485,1.454,1.454,1.433,1.331,1.289,1.387,1.517,1.43,1.386,1.389,1.362,1.359,1.593,1.592,1.542,1.5,1.41,1.35,1.447,1.496,1.465,1.58,1.511,1.484,1.53,1.5,1.45,1.421,1.42,1.433,1.55,1.608,1.819,1.75,1.744,1.797,1.716,1.761,1.752
BOTSWANA,PULA,5.376,5.627,5.724,6.964,6.716,6.01,6.23,5.444,5.464,5.144,4.695,4.558,4.651,4.764,4.329,4.357,4.355,5.447,5.411,5.45,5.438,5.65,6.02,5.942,6.124,6.124,6.23,6.544,6.448,6.382,7.936,7.547,6.901,6.707,6.579,6.653,6.757,7.042,6.897,6.75,6.63,6.54,7.369,7.485,7.252,7.83,7.634,7.77,8.24,8.59,8.56,8.749,8.81,8.787,9.25,9.497,9.97,9.901,10.537,11.236,10.823,10.917,10.526
BRAZIL,REAL,2.043,2.36,2.552,2.309,2.36,2.519,3,3.535,3.557,2.963,2.924,2.912,2.908,3.111,2.933,2.718,2.582,2.411,2.374,2.334,2.134,2.302,2.151,2.141,1.924,2.136,1.745,1.78,1.669,1.637,2.383,2.231,1.948,1.946,1.87,1.74,1.786,1.812,1.76,1.72,1.66,1.57,1.839,1.85,1.822,2.02,2.03,2.047,2.02,2.2,2.26,2.362,2.32,2.193,2.45,2.657,3.26,3.121,4.056,3.959,3.593,3.242,3.257
BRUNEI,DOLLAR,1.741,1.807,1.737,1.849,1.832,1.783,1.748,1.736,1.738,1.73,1.727,1.708,1.676,1.699,1.712,1.639,1.625,1.663,1.686,1.662,1.624,1.575,1.577,1.53,1.53,1.53,1.521,1.446,1.393,1.367,1.418,1.472,1.544,1.447,1.441,1.401,1.4,1.398,1.356,1.32,1.27,1.23,1.298,1.292,1.257,1.29,1.225,1.222,1.24,1.27,1.26,1.254,1.25,1.254,1.25,1.254,1.374,1.346,1.423,1.416,1.342,1.346,1.364
BULGARIA,LEV,2.114,2.3,2.146,2.184,2.246,2.094,1.988,1.874,1.809,1.645,1.669,1.577,1.589,1.594,1.605,1.473,1.474,1.585,1.594,1.657,1.646,1.522,1.53,1.486,1.454,1.454,1.433,1.331,1.289,1.387,1.517,1.43,1.386,1.389,1.362,1.358,1.594,1.591,1.542,1.5,1.41,1.35,1.447,1.496,1.465,1.58,1.511,1.484,1.53,1.5,1.45,1.421,1.42,1.432,1.55,1.609,1.82,1.75,1.745,1.797,1.717,1.761,1.752
BURKINA FASO,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,465,509,479.5,515,465.01,456.95,454.89,533.82,532,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,501.41,485.93,475,477.79,480.52,516.65,538.7,606.41,586.93,585.31,602.79,575.7,590.69,587.51
BURMA-MYANMAR,KYAT,350,400,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,815,461.0159,855,852,878,948,971,980,987,974,992,1028,1033,1117,1287,1311,1216,1182,1255
BURUNDI,FRANC,780.588,822.749,833.024,851.05,853.353,852.727,1050.229,1050.75,1060.4,1051.521,1065.4,1062.3,1080.3,1080.3,1080.3,1085.7,1113.5,1115.15,1066,1022,1022,1022,1043,1043,1040,1040,1100,1100,1135,1160,1170,1200,1200,1200,1200,1200,1200,1200,1200,1243,1243,1255,1255,1300,1390,1390,1480,1535,1650,1560,1560,1540,1540,1550,1550,1550,1600,1600,1600,1600,1600,1600,1650
CAMBODIA (KHMER),RIEL,3910,3910,3910,3905,3895,3895,3910,3910,3930,3950,4020,3990,3990,3990,3990,3850,4032,4032,4032,4166,4112,4079,4114,4052,4066,4066,4077,4069,4000,4000,4111,4077,4077,4154,4154,4163,4169,4169,4239,4239,4046,4046,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103
CAMEROON,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,465,509,479.5,515,465.01,456.95,454.89,533.82,532,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,501.41,485.93,476.54,475.54,480.48,520.11,538.82,606.41,586.83,585.1,602.68,575.75,590.69,593.95
CANADA,DOLLAR,1.532,1.541,1.549,1.592,1.604,1.528,1.558,1.579,1.492,1.37,1.347,1.324,1.312,1.365,1.314,1.188,1.229,1.251,1.188,1.168,1.138,1.097,1.111,1.172,1.069,1.069,1.055,0.999,0.98,0.99,1.24,1.191,1.122,1.157,1.097,1.051,1.017,1.047,1.062,1.02,0.98,0.97,1.044,1.018,0.996,1.03,0.979,0.995,1.02,1.05,1.03,1.064,1.11,1.068,1.12,1.158,1.277,1.238,1.341,1.386,1.293,1.295,1.316
CAPE VERDE,ESCUDO,121.203,128.353,120.486,123.556,127.182,121.296,113.703,106.47,100.967,94.98,96.79,89.827,89.874,91.595,90.279,83.94,82.15,85.841,87.695,90.566,90.704,86.03,85.371,82.984,80.848,80.848,80.928,73.569,71.966,70.003,82.11,79.856,85.278,77.601,76.173,74.727,90.327,88.087,85.645,81.67,80,75.61,80.891,82.552,82.73,86.71,84.4,82.685,84.18,82.05,80.3,80.303,80.3,79.927,85.64,87.871,99.946,96.33,96.754,101.222,96.382,99.156,97.19
CAYMAN ISLANDS,DOLLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1,1,1,0.82,0.82
CENTRAL AFRICAN REPUBLIC,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,465,509,479.5,515,465.01,456.95,454.89,533.82,532,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,501.41,485.93,475,475.54,480.48,520.11,538.82,606.41,586.83,585.1,602.68,575.75,590.69,593.95
CHAD,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,465,509,479.5,515,465.01,456.95,454.89,533.82,532,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,501.41,485.93,476.54,475.54,480.48,520.11,538.82,606.41,586.83,585.1,602.68,575.75,590.69,593.95
CHILE,PESO,574.04,610.8,662.2,661,679.7,655.65,709.7,720,749.85,711.8,660.8,596.7,617.6,632.4,625.9,589.3,576.2,582.6,540.6,511.8,516.7,532,537,539,525.1,525.1,522.7,432.7,455.1,530.2,643.2,630.5,596.05,528.6,553.1,507,515,545,500.25,486.7,475.2,469.5,513.9,519.45,487.93,517.8,470.7,478.35,471.5,503.3,503.42,525.32,561.45,551.12,601.54,607.16,629.4,639.66,698.85,709.98,671.95,662.75,659.2
CHINA,RENMINBI,8.266,8.265,8.264,8.265,8.265,8.265,8.265,8.265,8.265,8.265,8.265,8.265,8.265,8.265,8.265,8.265,8.265,8.265,8.1,8.068,8.038,8.022,7.968,7.814,7.645,7.645,7.544,7.396,7.112,6.94,6.837,6.833,6.84,6.83,6.83,6.826,6.826,6.782,6.807,6.67,6.57,6.46,6.378,6.336,6.298,6.37,6.284,6.23,6.21,6.14,6.12,6.054,6.15,6.204,6.14,6.205,6.199,6.2,6.356,6.492,6.455,6.643,6.669
COLOMBIA,PESO,2262.8,2324.5,2296.2,2275,2303,2318.5,2704,2854.5,2957.5,2860.8,2885,2806.75,2682.3,2723.1,2531,2480.1001,2328,2338.1499,2303.1001,2285.05,2554.9,2477,2402,2214,1902.2,2139.1,2161.8999,2042,1838.7,2075,2250.98,2462.9,2017.1,2143.2,1836.5,2046.5,1924,1917.3,1826.2,1920,1905,1778.5,1917.4,1923.5,1791,1826,1798.2,1766.4,1824,1922.59,1907,1924.98,2052.23,1879.65,2026.2,2372.6,2575,2588,3109,3169.28,3013.8999,2911.69,2890.11
COMOROS,FRANC,532.898,581.175,541.275,552.09,567.172,557.152,557.152,557.152,557.152,557.152,557.152,557.152,557.152,557.152,557.152,557.152,557.152,557.152,557.152,557.152,557.152,557.152,557.152,557.152,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,361.35,437.15,435.3,441,425.55,439.1
CONGO,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,421,446.02,479.5,515,465.01,456.95,454.89,485.01,533.82,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,501.41,485.93,475,475.54,480.48,520.11,538.82,606.41,586.83,585.1,602.68,575.75,590.69,593.95
"CONGO, DEM. REP",CONGOLESE FRANC,50,349.305,294,314,339,319.6,340,372.5,422.5,414,352.5,368.5,382.5,382.5,433.5,478.5,478.5,512.5,470,442.5,442.5,442.5,536.5,512.5,500,500,500,500,541,541,541,725,810,789,823,900,920,900,900,900,920,920,920,900,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920,965,1030
COSTA RICA,COLON,321.01,325.96,331.87,341.3,347.05,356.24,365.54,378.33,385.05,394.64,408.23,417.84,427.77,433.78,444.1,454.79,464.9,474.35,483.8,495.8,502.22,509.89,517.63,516.3,516.7,516.7,518.2,496.6,493.21,516.42,553.45,557.7,557.5,573.7,583.7,553.7,518.51,517,503.7,501.95,495.7,501.7,507.7,501.2,502.6,499.7,498.5,509.7,498.6,498.7,499.1,495.2,502,538,533.93,533.25,527.36,531.97,530,531.94,529.59,545.5,546.33
COTE D'IVOIRE,CFA FRANC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.41,485.93,475,477.79,480.52,516.65,538.7,606.41,586.93,585.31,602.79,575.7,590.69,587.51
CROATIA,KUNA,8.456,8.504,8.337,8.308,8.569,7.89,7.44,7.11,7.05,6.37,6.57,6.13,6,6.08,6.1,5.73,5.65,5.81,6.04,6.19,6.12,5.65,5.64,5.55,5.39,5.39,5.33,4.904,4.8,4.64,5.4,5.2,5.09,5.08,5,5,5.82,5.81,5.65,5.59,5.33,5.14,5.38,5.65,5.57,5.91,5.69,5.63,5.83,5.63,5.56,5.46,5.52,5.49,5.9,6.15,6.9,6.67,6.67,6.82,6.54,6.6,6.51
CUBA,PESO,,,,,,,,,,,,,,,,,,,,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.93,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CYPRUS,EURO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
CYPRUS,POUND,0.627,0.681,0.63,0.645,0.662,0.62,0.584,0.547,0.537,0.496,0.5,0.471,0.478,0.48,0.474,0.437,0.44,0.467,0.467,0.486,0.484,0.448,0.451,0.439,0.434,0.434,0.429,0.398,0.398,0.3992,0.4235,0.398,,,,,,,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,0.789,,,,,,,,,,,,,,
CZECH,KORUNA,36.631,39.149,36.611,36.442,36.024,31.818,30.358,29.567,28.888,25.922,26.859,25.711,26.415,25.483,22.601,22.908,21.994,24.129,23.739,23.962,23.453,21.497,21.61,20.252,20.699,20.699,17.842,15.745,16.237,15.809,18.866,21.636,18.671,18.106,17.43,18.119,18.683,18.6,19.228,18.64,17.39,16.38,17.787,19.261,18.156,20.38,18.993,18.63,19.7,19.57,18.65,19.457,19.57,19.73,21.26,22.326,24.924,23.911,23.636,24.203,23.409,23.821,23.52
DENMARK,KRONE,8.084,8.81,8.191,8.344,8.569,7.974,7.576,7.096,6.878,6.272,6.36,6.001,6.078,6.089,6.102,5.596,5.609,6.03,6.076,6.317,6.279,5.802,5.836,5.66,5.535,5.535,5.458,5.074,4.912,5.286,5.781,5.448,5.278,5.286,5.184,5.167,6.111,6.061,5.871,5.72,5.39,5.16,5.506,5.686,5.573,5.99,5.759,5.66,5.82,5.71,5.53,5.419,5.41,5.461,5.91,6.124,6.949,6.675,6.654,6.856,6.539,6.697,6.675
DJIBOUTI,FRANC,176.95,176.95,176.95,176.95,176.95,176.95,176.95,176.95,176.95,176.95,176.95,176.95,176.95,176.95,176.95,175.9,177,177,177,177,177,174.2,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177
DOMINICAN REPUBLIC,PESO,16.588,16.99,16.85,17.02,17.5,17.9,17.9,20.45,22.5,27,31.85,34.8,43,47.65,28.75,28,28.5,28.6,29.1,33.65,32.5,32.3,32.5,33,32.15,32.15,33.05,33.35,33.54,33.9,34.79,35.32,35.52,35.92,35.92,36.1,36.28,36.71,36.9,37.05,37.74,37.95,38.14,38.37,38.88,38.88,39.08,40.1,40.86,41.58,42.62,42.65,43.16,43.4,43.65,44.13,44.65,44.65,45.17,45.4,45.64,45.87,46.12
ECUADOR,DOLLAR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ECUADOR,SUCRE,25000,25000,25000,25000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGYPT,POUND,3.88,3.886,4.25,4.56,4.62,4.58,4.58,4.615,5.56,5.96,6.125,6.15,6.18,6.18,6.218,6.21,5.79,5.785,5.763,5.728,5.73,5.758,5.74,5.704,5.682,5.682,5.642,5.52,5.475,5.335,5.368,5.47,5.564,5.591,5.525,5.484,5.504,5.694,5.705,5.79,5.89,5.97,5.964,6.016,6.038,6.04,6.093,6.356,6.8,7.02,6.89,6.948,6.96,7.15,7.15,7.15,7.63,7.63,7.83,7.83,8.88,8.88,8.88
EL SALVADOR,COLON,8.75,8.75,8.75,8.75,8.75,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EQUATORIAL GUINEA,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,465,509,479.5,515,465.01,456.95,454.89,533.82,532,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,501.41,485.93,476.54,475.54,480.48,520.11,538.82,606.41,586.83,585.1,602.68,575.75,590.69,593.95
ERITREA,NAKFA,10.2,10.2,10.2,13.55,13.55,13.55,13.65,13.55,13.55,13.55,13.55,13.55,13.55,13.55,13.55,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
